image,mean_gap,var_gap,group
4854.pgm,2.065375,2.139101,A
1636.pgm,46.886125,48996.816907,C
9089.pgm,1.970000,2.206600,A
8796.pgm,2.269250,30.736754,A
4322.pgm,1.891875,5.030434,A
4386.pgm,2.054875,3.278864,A
4804.pgm,1.850625,1.293562,A
9062.pgm,1.978000,1.761766,A
7844.pgm,2.047125,2.038654,A
258.pgm,1.882375,1.398789,A
1404.pgm,1.953875,1.651247,A
7611.pgm,1.858125,1.378246,A
2203.pgm,2.150000,2.691750,A
131.pgm,1.943500,1.594558,A
9538.pgm,2.078750,2.279548,A
3553.pgm,29.966500,23449.087628,C
4484.pgm,3.574750,401.659912,B
6267.pgm,1.923125,1.568215,A
3420.pgm,2.053250,2.126914,A
2993.pgm,1.870125,1.543257,A
6231.pgm,2.057750,2.250665,A
3943.pgm,1.965500,1.781810,A
3372.pgm,1.946500,1.567888,A
2895.pgm,75.727375,121718.148801,C
3096.pgm,2.001000,5.316499,A
1610.pgm,1.909625,1.532457,A
2429.pgm,1.857375,1.322033,A
2581.pgm,2.072375,2.381387,A
7182.pgm,3.719500,733.963570,B
1205.pgm,20.868500,20297.953208,C
2317.pgm,2.236375,3.297752,A
8262.pgm,1.897375,1.432093,A
2033.pgm,1.934000,1.932644,A
4913.pgm,2.105250,3.398672,A
8326.pgm,1.916375,1.944382,A
4413.pgm,2.705375,194.737321,B
8305.pgm,1.973125,4.284403,A
2279.pgm,2.147250,12.480067,A
2164.pgm,2.155875,9.417078,A
8205.pgm,2.176125,22.870355,A
7295.pgm,1.951750,1.746172,A
2614.pgm,1.980000,7.681850,A
7723.pgm,2.077125,2.475677,A
3575.pgm,6.678375,3158.732932,C
9666.pgm,1.983500,1.796478,A
2139.pgm,1.843875,1.284750,A
8132.pgm,1.967750,1.682210,A
8318.pgm,1.872000,1.399616,A
8001.pgm,2.112250,2.247150,A
6502.pgm,1.890375,1.355357,A
7270.pgm,2.000875,1.964874,A
1905.pgm,2.270250,8.696215,A
9120.pgm,2.339875,3.914860,A
1491.pgm,2.166125,13.288527,A
3129.pgm,1.876250,1.320436,A
9783.pgm,1.888125,1.472859,A
3116.pgm,2.383625,100.323707,A
8598.pgm,2.076000,2.528724,A
9252.pgm,1.890000,1.465650,A
7555.pgm,2.188875,9.724701,A
1462.pgm,13.168375,5835.531525,C
2396.pgm,1.921250,1.547298,A
2712.pgm,1.856000,1.227764,A
5442.pgm,29.641000,24182.636119,C
4967.pgm,2.056750,2.112779,A
8853.pgm,1.967625,1.733827,A
1727.pgm,2.063375,12.062609,A
2213.pgm,2.047875,4.088083,A
1846.pgm,219.906375,515309.476859,C
393.pgm,4.129500,297.236230,B
6438.pgm,1.936125,1.914795,A
5292.pgm,1.937250,1.951062,A
2630.pgm,1.952625,9.822631,A
7617.pgm,2.208500,3.454778,A
1580.pgm,1.950125,5.510137,A
9883.pgm,1.936375,1.628327,A
886.pgm,1.996375,3.676112,A
6045.pgm,2.055000,2.493725,A
5439.pgm,2.058125,6.990246,A
4781.pgm,2.369750,183.200035,A
340.pgm,1.911125,1.428976,A
9543.pgm,1.933500,1.844828,A
3289.pgm,2.153375,22.153101,A
5392.pgm,2.175625,3.520281,A
229.pgm,7.457625,1115.550454,C
8996.pgm,1.989750,1.834895,A
793.pgm,1.982125,1.820555,A
616.pgm,1.920250,1.506140,A
449.pgm,1.956000,3.676314,A
3309.pgm,4.732625,1091.307136,B
4062.pgm,1.906625,1.481656,A
6400.pgm,1.886375,1.378714,A
1430.pgm,2.059875,24.207040,A
3978.pgm,3.494375,1079.454718,B
2105.pgm,2.138500,43.441818,A
8366.pgm,1.899875,1.455100,A
7916.pgm,2.347625,13.117532,A
4292.pgm,152.371000,317271.144859,C
1224.pgm,2.897375,188.093093,B
3996.pgm,1.945375,7.956891,A
2442.pgm,2.566000,217.701394,B
8234.pgm,1.989875,1.790272,A
242.pgm,2.821375,531.536718,B
7293.pgm,1.922375,1.650099,A
7856.pgm,2.009250,2.017414,A
1385.pgm,1.930375,1.630527,A
8145.pgm,1.890125,1.491802,A
7041.pgm,2.217500,3.037694,A
518.pgm,1.935875,1.749513,A
2583.pgm,2.534500,163.859310,B
3567.pgm,2.022375,2.258874,A
9169.pgm,1.845250,1.290552,A
3714.pgm,2.351375,48.372411,A
5551.pgm,2.110125,2.445747,A
3783.pgm,1.877250,1.423432,A
6705.pgm,1.996375,1.958362,A
691.pgm,2.035375,14.948874,A
3773.pgm,1.885750,1.434947,A
2478.pgm,2.085000,2.336275,A
4889.pgm,2.068750,2.131023,A
1197.pgm,1.900625,1.458000,A
6704.pgm,2.098125,2.462746,A
723.pgm,1.909000,1.512719,A
5211.pgm,3.079875,820.121495,B
3020.pgm,1.933250,1.605044,A
4129.pgm,2.102875,29.251542,A
9551.pgm,1.943375,1.704169,A
779.pgm,1.916875,1.830465,A
5312.pgm,1.886375,1.448214,A
7402.pgm,1.934000,1.570644,A
8237.pgm,1.947750,1.653770,A
9725.pgm,1.936375,1.637327,A
7431.pgm,1.967250,5.116677,A
5200.pgm,2.514750,5.426032,B
2286.pgm,3.277250,523.708632,B
4360.pgm,1.912750,1.453137,A
4567.pgm,1.912625,1.518991,A
599.pgm,1.950750,2.102324,A
1996.pgm,26.283250,23147.852769,C
434.pgm,1.942875,1.712112,A
4505.pgm,1.913375,2.134621,A
4222.pgm,1.991125,1.764546,A
6833.pgm,1.969750,3.776085,A
568.pgm,1.969500,1.606320,A
7219.pgm,2.210875,2.938907,A
9735.pgm,2.037125,4.522747,A
2966.pgm,1.925625,1.556093,A
847.pgm,1.949375,1.841062,A
1549.pgm,2.365125,146.376559,A
493.pgm,2.528625,105.888681,B
5156.pgm,1.923500,1.525898,A
5154.pgm,5.670375,1638.504472,C
3600.pgm,2.004125,3.622608,A
65.pgm,1.895125,1.441876,A
7831.pgm,1.937000,1.629031,A
5941.pgm,155.414250,365472.960647,C
8910.pgm,1.947375,1.836106,A
6017.pgm,1.981125,2.249019,A
5676.pgm,2.108125,2.346934,A
9547.pgm,1.957500,1.742944,A
3297.pgm,112.958000,282330.659736,C
8046.pgm,2.181250,3.710148,A
5304.pgm,5.196500,950.920888,C
7245.pgm,115.752750,217824.882117,C
2695.pgm,1.934000,5.788894,A
9152.pgm,2.188875,13.127701,A
5484.pgm,1.947250,1.600717,A
5034.pgm,2.068250,7.225342,A
5918.pgm,2.249625,4.986812,A
4996.pgm,2.264500,23.999790,A
1819.pgm,2.007000,6.203951,A
9956.pgm,2.027375,3.100626,A
5111.pgm,1.942375,1.688054,A
1094.pgm,2.047500,2.059494,A
211.pgm,1.942000,1.642636,A
5196.pgm,1.962000,6.240056,A
2061.pgm,1.949875,1.667362,A
6392.pgm,2.012000,5.925356,A
3861.pgm,1.974250,5.709337,A
9513.pgm,1.910125,1.502047,A
6346.pgm,1.917375,1.595798,A
5744.pgm,1.931000,1.606239,A
4926.pgm,1.873125,1.411278,A
8228.pgm,1.916750,1.508069,A
4287.pgm,1.867250,1.368127,A
6214.pgm,1.887875,1.524053,A
2726.pgm,2.124250,3.811562,A
4526.pgm,7.871125,4256.266516,C
7124.pgm,1.902500,1.444994,A
1142.pgm,4.537750,3876.422075,B
6587.pgm,1.892125,1.431488,A
8227.pgm,2.025750,2.600837,A
2399.pgm,1.924250,1.554762,A
5192.pgm,1.808750,1.169923,A
533.pgm,1.865875,1.362385,A
7149.pgm,2.828750,323.938923,B
9020.pgm,1.956500,2.007358,A
7655.pgm,2.613500,45.236868,B
9926.pgm,1.941125,2.639409,A
8658.pgm,2.142875,9.736712,A
1257.pgm,1.918625,1.479503,A
477.pgm,1.969125,1.889172,A
3317.pgm,35.116250,41444.855736,C
4885.pgm,2.023625,2.076817,A
8943.pgm,1.997125,1.819117,A
8174.pgm,1.893375,1.410506,A
6649.pgm,2.026250,1.885061,A
1383.pgm,2.016500,1.839478,A
3877.pgm,3.105125,267.224574,B
9032.pgm,1.924125,1.579868,A
8731.pgm,2.145875,5.566345,A
7186.pgm,2.154500,19.258630,A
3599.pgm,1.922750,1.482282,A
1029.pgm,25.237625,14880.503909,C
185.pgm,1.950250,1.644275,A
6652.pgm,2.156750,12.078679,A
3044.pgm,1.895875,1.379033,A
3919.pgm,1.945375,1.653891,A
8900.pgm,1.921500,1.632838,A
6311.pgm,1.893375,1.456006,A
4545.pgm,1.889000,1.434929,A
3611.pgm,1.971625,1.813820,A
2388.pgm,1.931375,1.545916,A
7347.pgm,2.108625,2.389576,A
1541.pgm,2.278250,60.189077,A
4836.pgm,2.236875,3.524765,A
6986.pgm,2.019000,1.996389,A
5797.pgm,2.046750,2.249564,A
986.pgm,2.009750,1.942155,A
6624.pgm,2.436625,124.365484,A
9953.pgm,2.007000,2.078201,A
9008.pgm,2.011250,2.026123,A
3977.pgm,1.891625,1.398380,A
6482.pgm,4.769625,811.519802,B
1605.pgm,1.838625,1.183833,A
9272.pgm,2.069625,3.124777,A
3595.pgm,1.959750,9.771880,A
9847.pgm,1.937750,1.615375,A
7143.pgm,2.005500,1.936970,A
8347.pgm,1.995875,7.222358,A
4984.pgm,1.957625,1.661829,A
4019.pgm,12.577125,9853.121052,C
461.pgm,7.052750,2505.264217,C
619.pgm,1.858750,1.313798,A
864.pgm,9.639000,3548.975929,C
7573.pgm,1.914000,1.832854,A
2582.pgm,1.843625,1.284922,A
8244.pgm,1.956000,1.790314,A
2567.pgm,1.952875,3.377154,A
9076.pgm,2.103000,2.519141,A
6355.pgm,2.097625,2.413344,A
7830.pgm,2.028375,1.974820,A
1987.pgm,9.556125,3139.776850,C
2718.pgm,2.023375,8.315329,A
609.pgm,1.872000,1.316366,A
4055.pgm,99.770500,282303.862830,C
8489.pgm,1.850750,1.287474,A
4043.pgm,1.931250,1.605273,A
2384.pgm,2.026125,18.880442,A
6024.pgm,2.167750,6.014610,A
5840.pgm,31.102875,45197.723292,C
6481.pgm,3.089500,259.337490,B
2828.pgm,1.884625,1.385064,A
8149.pgm,1.943625,1.674447,A
1323.pgm,4.908375,2303.600730,B
1047.pgm,1.958000,1.687236,A
2453.pgm,2.454625,94.337941,A
1781.pgm,1.918125,3.171671,A
1450.pgm,2.237625,54.327409,A
9000.pgm,1.887000,1.453481,A
8055.pgm,2.010375,2.440767,A
7704.pgm,5.412625,988.097366,C
5230.pgm,1.934000,1.537394,A
1372.pgm,2.148750,8.850873,A
8268.pgm,2.030000,2.255100,A
331.pgm,1.872500,5.227744,A
1246.pgm,2.033500,1.918378,A
4897.pgm,1.919625,2.189415,A
6654.pgm,2.128125,4.492959,A
5073.pgm,2.038750,2.486998,A
3327.pgm,2.591250,167.292673,B
3218.pgm,3.809000,857.635769,B
617.pgm,1.933250,1.600794,A
6349.pgm,1.961375,1.733133,A
3649.pgm,1.932500,1.812944,A
979.pgm,1.910125,1.553047,A
9033.pgm,1.926125,1.579417,A
7755.pgm,1.960000,1.674150,A
6170.pgm,2.127500,2.658994,A
4631.pgm,1.959500,1.650610,A
8184.pgm,1.937250,1.633312,A
5573.pgm,1.845250,1.258552,A
2035.pgm,1.894500,1.408870,A
9816.pgm,1.850500,1.392650,A
1311.pgm,2.163750,4.925936,A
704.pgm,31.749750,36684.726375,C
9326.pgm,1.938000,1.632656,A
3231.pgm,1.947250,6.069717,A
296.pgm,2.052375,2.176882,A
4873.pgm,2.121875,2.536771,A
2674.pgm,1.905625,1.518218,A
5107.pgm,1.931125,1.935881,A
6523.pgm,1.897000,11.326391,A
1530.pgm,2.259375,40.017850,A
7268.pgm,2.051000,2.246399,A
9457.pgm,1.965000,1.870025,A
5622.pgm,2.043375,2.066494,A
6917.pgm,9.292125,3892.440038,C
3823.pgm,2.299250,78.495449,A
6244.pgm,3.789250,434.067334,B
2579.pgm,3.084250,352.379152,B
3873.pgm,3.075750,361.796762,B
678.pgm,1.989750,1.972645,A
5725.pgm,2.412375,68.796822,A
1400.pgm,1.960375,1.748555,A
7271.pgm,2.149875,2.619412,A
4101.pgm,1.889250,1.409234,A
4460.pgm,1.970875,2.200277,A
1276.pgm,2.010375,1.939767,A
